Damaged_Parts,Severity,Cost_Repair_Euros
"Fender, Dickey, Door, Bonnet, Bumper, Windshield",minor,240
"Door, Light, Dickey, Bumper, Windshield, Bonnet, Fender",minor,238
"Fender, Windshield, Bonnet",moderate,165
"Windshield, Bonnet, Bumper, Light, Door",minor,245
"Bonnet, Fender, Light",minor,144
Dickey,severe,113
"Bonnet, Door, Light, Fender",moderate,352
"Windshield, Door, Light, Fender",minor,196
"Bumper, Light, Windshield, Bonnet, Dickey, Fender",severe,810
"Light, Dickey, Bumper, Door",moderate,264
"Door, Fender",minor,74
"Light, Dickey, Fender, Bumper, Windshield, Bonnet",severe,786
"Windshield, Light, Dickey, Door",minor,156
"Door, Fender, Bumper, Bonnet, Light, Windshield, Dickey",moderate,637
Fender,severe,113
"Dickey, Light, Bonnet, Bumper, Windshield, Door, Fender",minor,196
"Fender, Bonnet, Bumper, Dickey, Windshield, Light, Door",moderate,637
"Door, Bumper",severe,292
"Bonnet, Door, Bumper, Windshield, Fender",minor,205
"Bumper, Dickey, Fender",severe,321
Fender,moderate,61
"Fender, Dickey, Bumper, Light",severe,404
Door,minor,25
"Windshield, Door, Light, Dickey, Bumper, Bonnet",severe,870
"Windshield, Bonnet, Bumper, Fender",severe,536
"Door, Fender",minor,80
"Fender, Door, Bumper, Windshield",minor,96
"Door, Bonnet, Windshield",minor,141
"Bonnet, Windshield, Door, Bumper, Dickey, Light, Fender",severe,763
"Light, Fender, Dickey, Bumper, Windshield, Door",moderate,534
"Bonnet, Bumper, Dickey, Light, Windshield, Door, Fender",severe,770
"Bumper, Fender, Windshield, Bonnet, Light",moderate,340
"Door, Bumper",moderate,116
"Dickey, Windshield, Fender",minor,111
"Dickey, Windshield, Fender",moderate,171
Fender,severe,134
"Door, Fender, Bumper, Dickey, Bonnet, Windshield",minor,210
"Windshield, Bumper, Door, Light, Dickey, Fender",severe,720
"Dickey, Door",moderate,182
"Bumper, Fender, Bonnet, Light, Windshield, Dickey, Door",moderate,469
Bonnet,moderate,82
Bonnet,moderate,92
"Bonnet, Door, Windshield",minor,132
"Bumper, Windshield, Dickey, Light, Bonnet, Fender, Door",severe,945
"Bumper, Bonnet, Light, Door, Windshield",minor,100
Fender,minor,32
"Light, Fender, Bonnet",moderate,189
Bonnet,moderate,90
"Bonnet, Windshield, Bumper, Light, Fender, Dickey, Door",minor,350
"Fender, Dickey, Bonnet, Door",moderate,340
"Door, Windshield, Dickey, Fender",minor,124
"Dickey, Bumper, Door, Bonnet",minor,96
"Bonnet, Light, Windshield, Door, Dickey, Fender, Bumper",minor,294
"Light, Bonnet, Bumper",minor,147
"Bumper, Dickey, Windshield, Door, Light",moderate,465
"Fender, Bumper, Windshield, Door, Light, Bonnet",severe,666
"Bonnet, Windshield, Bumper",severe,423
"Fender, Bonnet, Door, Windshield, Light, Bumper",moderate,534
"Bonnet, Bumper, Light, Dickey, Fender",moderate,300
"Dickey, Windshield, Light, Door, Bumper, Fender",minor,252
"Dickey, Fender, Bonnet, Windshield",minor,152
"Windshield, Fender, Bumper, Bonnet",minor,112
"Windshield, Fender, Bonnet, Bumper, Dickey, Door",moderate,480
"Bumper, Door, Windshield",severe,360
Door,moderate,84
"Dickey, Windshield, Light, Door",moderate,388
"Fender, Bonnet, Bumper, Light, Dickey, Windshield",minor,264
"Fender, Door",moderate,144
"Bumper, Fender, Light, Dickey, Windshield, Door",severe,864
"Door, Dickey, Fender, Bonnet, Bumper, Windshield",severe,624
"Windshield, Bumper, Bonnet, Dickey",moderate,324
"Windshield, Fender, Door, Bumper, Dickey",minor,235
"Windshield, Fender, Door, Bonnet, Light",minor,220
"Bumper, Windshield, Dickey, Light, Door",minor,150
"Bonnet, Fender, Door, Dickey, Windshield",severe,645
Door,moderate,53
"Fender, Bumper, Light, Bonnet, Windshield, Dickey",minor,192
Door,severe,125
"Bonnet, Windshield, Bumper",minor,132
Light,minor,48
"Fender, Bonnet",minor,46
"Windshield, Bonnet, Dickey",severe,432
"Light, Dickey, Windshield, Door, Bonnet",moderate,275
"Fender, Bonnet, Windshield, Bumper, Door",minor,235
"Fender, Bonnet, Bumper, Door, Windshield, Dickey",moderate,492
"Fender, Bonnet, Light",severe,372
"Fender, Light",minor,88
"Fender, Dickey, Door, Windshield, Light, Bonnet",minor,258
Windshield,minor,21
"Bumper, Fender, Windshield, Dickey",moderate,324
"Door, Bonnet, Light",minor,126
"Windshield, Bumper, Bonnet, Fender",minor,180
"Bonnet, Bumper, Dickey",minor,117
Bonnet,moderate,76
"Windshield, Dickey, Door, Bonnet, Light, Bumper, Fender",minor,350
"Bumper, Light",moderate,156
"Bonnet, Door, Bumper",severe,435
"Fender, Door, Windshield, Light, Bumper",severe,665
"Windshield, Door, Bumper, Light",minor,152
"Door, Dickey, Bumper, Fender, Light, Bonnet",severe,882
"Bumper, Windshield",moderate,178
"Light, Fender",minor,46
"Door, Fender, Light, Dickey, Bonnet",severe,515
"Windshield, Dickey, Light, Bonnet, Bumper",moderate,305
Door,moderate,57
"Bonnet, Windshield, Bumper, Fender, Dickey, Door",moderate,516
"Bumper, Dickey, Door, Windshield, Bonnet, Light",minor,174
"Fender, Bumper, Dickey",minor,63
Bumper,severe,128
"Door, Bumper, Windshield, Light",moderate,296
"Bumper, Fender, Bonnet, Door, Light",minor,185
"Light, Windshield, Door, Bonnet, Fender, Bumper, Dickey",minor,245
"Bonnet, Bumper",moderate,134
"Dickey, Windshield, Bumper, Bonnet",minor,100
"Light, Bonnet, Fender",moderate,204
"Light, Windshield",moderate,116
"Door, Dickey, Fender, Bumper, Light, Bonnet, Windshield",minor,203
Windshield,severe,127
"Dickey, Windshield, Bonnet, Fender, Bumper, Light",minor,138
"Door, Light, Bumper, Bonnet, Fender",moderate,310
"Door, Light, Bonnet, Windshield",minor,96
"Bonnet, Dickey, Bumper, Light, Door, Fender",minor,264
"Light, Bonnet, Fender, Windshield",moderate,316
Windshield,severe,101
"Bonnet, Bumper",moderate,130
"Windshield, Light, Dickey",moderate,216
"Bonnet, Fender, Light",severe,348
Door,moderate,78
"Bonnet, Windshield, Dickey, Bumper, Fender, Door, Light",severe,728
"Light, Fender, Bonnet, Bumper, Door",minor,240
Fender,severe,129
"Light, Fender, Windshield, Dickey, Bonnet",moderate,475
"Dickey, Light, Door, Fender, Bumper",moderate,440
"Windshield, Light, Bonnet, Door, Fender",minor,175
"Bumper, Light",moderate,186
"Dickey, Windshield, Fender",severe,300
"Bonnet, Windshield, Bumper, Door, Fender",moderate,405
"Door, Light",severe,220
"Fender, Bonnet",severe,224
"Light, Bumper, Dickey",minor,123
"Bonnet, Bumper, Fender",severe,426
Bumper,moderate,58
"Windshield, Fender, Door, Bonnet",severe,436
"Door, Dickey, Bonnet, Windshield, Bumper",moderate,355
"Door, Bumper, Windshield",severe,399
"Door, Bumper",moderate,106
"Light, Bumper, Windshield, Dickey",minor,88
"Fender, Dickey, Windshield, Bumper, Bonnet, Light",moderate,516
"Dickey, Windshield",severe,212
"Windshield, Light, Bonnet, Door",severe,440
"Dickey, Fender, Light, Door, Windshield, Bonnet",severe,696
"Light, Windshield",severe,208
"Bumper, Light, Fender",minor,84
Bumper,minor,29
Bonnet,severe,102
Fender,minor,27
"Bumper, Windshield, Light, Dickey, Door, Fender, Bonnet",minor,238
Fender,severe,118
"Dickey, Windshield, Fender, Bonnet, Bumper",severe,615
"Dickey, Bonnet, Light, Fender, Door, Bumper",minor,186
"Bumper, Door, Bonnet, Light, Fender",minor,250
"Dickey, Bonnet, Light, Bumper, Windshield, Door",moderate,378
"Windshield, Fender, Bumper, Door, Bonnet",severe,565
"Fender, Bonnet, Windshield, Light, Door, Dickey",moderate,576
Windshield,severe,138
"Bonnet, Bumper",severe,264
"Dickey, Bumper, Light",moderate,270
Dickey,minor,23
Fender,moderate,57
"Light, Door, Fender, Bonnet, Bumper, Windshield, Dickey",minor,245
"Door, Windshield, Bumper, Light, Bonnet, Dickey, Fender",severe,847
Door,moderate,100
"Light, Bumper",severe,290
"Bonnet, Door, Light, Dickey, Windshield, Bumper",severe,768
"Fender, Dickey, Bumper, Bonnet, Windshield, Door, Light",severe,854
"Light, Bumper, Fender, Bonnet, Door, Windshield, Dickey",severe,847
"Fender, Bumper, Bonnet, Windshield, Dickey, Door",severe,864
"Door, Bumper, Dickey, Windshield, Bonnet, Fender, Light",severe,889
"Bonnet, Fender, Light, Dickey, Bumper",minor,100
"Bonnet, Fender, Windshield, Bumper, Dickey, Light",minor,234
Door,severe,112
"Bonnet, Bumper, Light, Windshield, Door",severe,515
"Light, Windshield, Door, Bumper, Bonnet",moderate,485
"Windshield, Door, Light, Fender, Bonnet",minor,205
"Door, Bumper, Fender, Bonnet, Light, Dickey",severe,744
"Door, Bumper, Bonnet, Fender, Windshield",minor,250
"Door, Light, Fender, Bumper, Dickey, Windshield",severe,792
"Light, Door, Windshield",moderate,222
"Fender, Light, Dickey",severe,414
"Bumper, Bonnet",moderate,180
"Bumper, Dickey, Fender, Windshield, Light, Bonnet, Door",moderate,420
"Bonnet, Windshield",minor,100
"Bumper, Windshield",moderate,146
"Light, Dickey",minor,98
Bonnet,minor,20
"Bonnet, Windshield, Bumper",minor,138
"Light, Windshield, Dickey, Bumper",minor,148
"Bonnet, Windshield, Bumper, Dickey",minor,136
Dickey,severe,111
"Door, Dickey, Bonnet, Windshield, Bumper, Fender",severe,750
"Fender, Bonnet",severe,238
Bumper,severe,141
"Dickey, Bumper, Bonnet, Windshield, Light, Fender, Door",severe,994
"Door, Bumper, Fender, Windshield, Dickey, Bonnet, Light",moderate,497
"Dickey, Light, Door, Bumper, Bonnet",moderate,305
"Dickey, Door, Bumper, Fender, Bonnet",minor,250
"Bumper, Windshield",moderate,100
"Dickey, Windshield, Fender, Door, Bonnet",moderate,255
"Bonnet, Fender, Door, Bumper, Light",minor,195
"Windshield, Bonnet, Light, Dickey, Door",moderate,320
"Bumper, Light, Fender, Windshield",severe,404
"Door, Bonnet, Dickey, Windshield, Bumper",moderate,400
"Fender, Door, Dickey, Light, Bonnet, Bumper, Windshield",moderate,609
"Dickey, Door, Windshield",severe,447
"Dickey, Fender",moderate,188
"Dickey, Bonnet, Windshield, Fender, Light, Door",moderate,306
"Bonnet, Windshield, Door, Bumper, Dickey, Fender",severe,816
Door,minor,46
"Door, Bonnet, Bumper, Light, Dickey, Windshield, Fender",severe,763
"Dickey, Bumper, Door, Light, Fender",minor,105
"Fender, Door, Windshield, Light",minor,184
"Windshield, Bumper, Fender",severe,333
"Dickey, Light, Bonnet, Fender",moderate,296
"Dickey, Bonnet, Windshield",severe,441
"Door, Bonnet, Dickey",minor,129
"Bumper, Door, Light, Dickey, Windshield, Bonnet, Fender",severe,959
"Bonnet, Dickey, Windshield",minor,150
"Door, Bonnet, Dickey, Fender, Light, Windshield, Bumper",minor,217
"Fender, Light, Windshield, Door, Dickey, Bonnet",moderate,492
"Dickey, Windshield, Fender, Light",severe,404
"Bumper, Door, Windshield, Light, Dickey, Bonnet, Fender",minor,308
Fender,severe,140
Windshield,minor,34
"Bonnet, Fender, Door, Bumper, Light",moderate,415
"Bonnet, Fender, Light, Bumper, Door, Windshield",moderate,336
"Light, Fender",minor,78
"Windshield, Bonnet, Fender, Bumper, Dickey",severe,625
Door,moderate,70
"Bonnet, Fender, Light, Windshield, Dickey, Bumper",minor,180
"Windshield, Door",minor,46
"Fender, Dickey, Bonnet, Bumper, Light, Door",minor,192
Dickey,severe,131
"Light, Windshield, Door, Fender",moderate,240
"Bonnet, Door, Light, Fender, Dickey",moderate,415
"Bumper, Fender, Bonnet",moderate,246
"Bonnet, Fender, Light, Door",minor,108
"Light, Windshield, Bonnet, Door",severe,428
"Bonnet, Fender, Bumper, Light, Dickey",moderate,500
"Windshield, Fender",moderate,164
"Door, Light, Bumper, Windshield, Fender",severe,555
"Dickey, Bonnet, Windshield, Bumper",severe,404
"Dickey, Light, Door, Bumper",moderate,288
"Windshield, Bumper",minor,100
"Windshield, Bonnet, Dickey",minor,126
"Door, Windshield, Bonnet, Dickey, Fender, Light",minor,174
"Bumper, Windshield, Dickey, Bonnet",minor,120
"Windshield, Bonnet, Door",severe,408
Fender,minor,28
"Dickey, Light, Windshield, Bonnet, Fender",severe,550
"Door, Bonnet, Fender, Dickey, Light",severe,645
"Light, Windshield, Bumper, Door, Dickey, Bonnet, Fender",severe,1043
"Light, Fender, Dickey, Bumper, Bonnet",moderate,265
Dickey,moderate,86
Windshield,severe,121
"Windshield, Bonnet, Door",moderate,180
"Bonnet, Light, Bumper",moderate,213
"Door, Dickey, Light, Bumper",moderate,288
"Windshield, Bonnet",minor,68
"Door, Windshield, Fender, Bonnet, Dickey, Bumper",moderate,336
"Bonnet, Dickey, Light",minor,102
"Bumper, Door, Light, Fender, Bonnet, Windshield",minor,294
"Fender, Bumper, Dickey, Door, Bonnet",moderate,450
"Door, Fender, Windshield, Light, Bumper, Dickey, Bonnet",minor,322
Fender,minor,50
"Windshield, Door, Fender, Bumper, Bonnet, Light, Dickey",severe,952
"Fender, Light, Door, Bumper, Dickey, Bonnet",severe,684
"Windshield, Fender, Door, Bumper",minor,124
"Light, Bonnet, Dickey",moderate,237
"Door, Windshield, Light",severe,300
"Light, Dickey, Bumper, Door, Fender, Bonnet",minor,174
"Light, Door, Bumper, Fender, Bonnet",severe,545
"Light, Dickey, Door",severe,309
"Bonnet, Dickey, Door, Windshield, Fender, Light",moderate,402
"Bumper, Bonnet, Door",moderate,231
"Fender, Windshield, Door, Dickey, Bonnet, Bumper",severe,846
"Dickey, Windshield, Fender, Bumper",minor,192
"Windshield, Bonnet, Bumper, Fender",moderate,396
"Door, Windshield, Bumper, Light, Fender, Dickey",minor,168
"Windshield, Bumper, Dickey, Bonnet",minor,108
Bumper,severe,149
"Light, Dickey, Windshield, Bonnet",minor,148
"Door, Light, Windshield, Fender, Dickey, Bonnet, Bumper",moderate,546
Bonnet,minor,36
"Bumper, Bonnet",moderate,106
"Light, Windshield, Fender",minor,126
"Windshield, Door, Dickey, Bonnet, Bumper, Fender, Light",severe,791
"Dickey, Door, Bonnet, Bumper, Fender",moderate,450
"Bumper, Light, Windshield, Dickey, Door, Fender",minor,144
Dickey,severe,130
"Door, Dickey, Windshield, Bonnet",minor,96
"Light, Bonnet, Door",minor,138
"Door, Fender",moderate,188
"Door, Dickey, Bonnet, Windshield, Light",minor,220
"Door, Dickey, Bonnet, Bumper, Light",minor,195
"Bonnet, Door, Dickey, Fender, Bumper",minor,150
"Bumper, Windshield, Dickey, Fender",minor,140
"Light, Bonnet, Windshield",severe,342
"Windshield, Door",severe,296
Bonnet,moderate,69
"Door, Fender, Windshield",severe,360
"Windshield, Door, Bumper, Light, Dickey, Bonnet",moderate,540
"Bonnet, Fender",minor,96
"Bonnet, Bumper, Door, Dickey",minor,196
Dickey,minor,25
"Windshield, Bumper, Fender",minor,141
"Light, Windshield, Bumper, Fender, Dickey, Door",moderate,552
"Light, Dickey, Door, Windshield, Fender",moderate,275
"Dickey, Light, Door, Windshield, Bumper, Bonnet, Fender",minor,259
"Fender, Bumper, Door, Windshield, Light",minor,165
"Bumper, Light",severe,278
"Fender, Dickey, Light, Windshield, Bonnet, Door",severe,816
"Windshield, Light, Bonnet, Fender, Door, Dickey",severe,708
"Door, Bonnet, Windshield, Light, Dickey, Bumper, Fender",minor,210
"Dickey, Bumper, Light, Windshield, Door",severe,670
"Bonnet, Bumper, Fender, Dickey",moderate,216
"Door, Light, Fender, Windshield, Dickey, Bonnet",minor,252
Bumper,moderate,55
Dickey,moderate,71
"Dickey, Bonnet, Door, Windshield, Fender",moderate,460
"Fender, Light, Door, Bumper, Dickey, Bonnet, Windshield",severe,749
"Fender, Bonnet, Bumper, Door, Light",minor,120
"Windshield, Light, Dickey",moderate,150
"Door, Windshield",moderate,138
"Door, Bonnet",minor,98
"Windshield, Light, Door, Dickey, Bumper, Bonnet",moderate,414
Windshield,severe,130
"Dickey, Fender, Door, Windshield, Bonnet, Light",severe,612
"Windshield, Bumper, Bonnet, Door, Dickey, Fender",severe,660
Fender,moderate,56
"Light, Door, Dickey, Bonnet",moderate,320
"Door, Bumper, Bonnet, Fender, Dickey",minor,205
"Fender, Bonnet, Dickey, Door, Windshield, Light",severe,630
Windshield,minor,47
"Door, Windshield, Fender, Dickey",minor,188
Bumper,severe,116
"Bumper, Bonnet, Dickey, Light, Door",severe,520
"Bumper, Bonnet, Light, Dickey, Fender, Windshield",moderate,594
"Bonnet, Door, Bumper, Fender, Dickey, Light",severe,690
"Fender, Door, Dickey",severe,339
Light,minor,32
Bonnet,minor,33
"Door, Dickey, Bumper, Bonnet, Windshield",minor,245
"Door, Light, Bumper, Bonnet",severe,464
"Windshield, Light, Door, Bonnet",moderate,252
"Light, Windshield, Bonnet",moderate,183
"Door, Bonnet, Fender",moderate,273
"Windshield, Bonnet, Fender, Light, Dickey",moderate,450
"Fender, Windshield, Bonnet, Door",moderate,372
"Windshield, Door, Fender, Dickey",moderate,216
"Bumper, Door, Light, Dickey",moderate,304
"Dickey, Bonnet, Light, Door, Fender, Bumper",moderate,450
"Windshield, Light, Fender",minor,60
"Bumper, Fender, Light, Door, Bonnet, Dickey",minor,282
Bumper,severe,128
"Door, Windshield, Dickey, Bumper, Light, Bonnet",severe,714
Fender,minor,28
"Bonnet, Fender, Light",moderate,183
Light,minor,39
"Door, Bumper, Bonnet",minor,141
"Light, Fender, Dickey, Bonnet, Bumper, Door",moderate,570
"Light, Dickey, Fender, Windshield, Bonnet",moderate,270
"Door, Dickey, Bonnet, Light, Bumper, Fender",minor,270
"Light, Door",minor,56
"Dickey, Fender, Windshield, Bonnet, Bumper, Light, Door",severe,938
"Bumper, Light, Windshield, Fender",moderate,380
"Bumper, Fender",moderate,168
"Bumper, Bonnet, Door",severe,300
"Windshield, Dickey, Door",minor,114
Bumper,minor,30
"Fender, Dickey",minor,80
"Fender, Windshield, Light, Bumper, Door",minor,130
"Fender, Door",minor,86
"Door, Bumper, Bonnet, Fender, Windshield, Dickey, Light",severe,1036
"Windshield, Door, Dickey, Bumper, Fender, Light",minor,192
"Bumper, Door, Dickey, Fender, Bonnet",minor,180
"Door, Windshield, Dickey, Bumper, Light, Fender",severe,618
"Light, Windshield, Fender, Door, Bumper",minor,190
"Windshield, Bumper, Door",severe,306
"Bonnet, Fender, Light, Dickey, Windshield, Door",moderate,390
"Bumper, Bonnet, Fender, Dickey",minor,148
"Bumper, Light, Fender, Windshield",severe,520
"Fender, Dickey, Light, Door, Bumper, Windshield",severe,822
"Windshield, Door, Dickey, Fender, Light, Bonnet",severe,894
"Door, Windshield, Light, Dickey, Bonnet",moderate,430
"Fender, Light, Bonnet",moderate,285
Door,minor,38
"Door, Windshield, Light",severe,363
"Light, Bonnet, Windshield, Dickey, Door, Bumper, Fender",moderate,483
"Dickey, Bonnet",moderate,138
"Light, Dickey, Bonnet",moderate,228
"Fender, Light",minor,96
"Dickey, Light, Bonnet, Door, Windshield",moderate,310
"Bumper, Bonnet, Door, Windshield, Dickey, Fender, Light",moderate,588
"Fender, Bumper, Light, Door",minor,144
"Fender, Bonnet, Windshield, Door",minor,112
"Bonnet, Dickey, Fender, Windshield, Bumper, Light",moderate,570
"Fender, Door, Bonnet, Bumper, Dickey",minor,125
"Fender, Bumper, Light",moderate,249
"Windshield, Dickey, Fender",severe,354
"Bumper, Windshield, Bonnet, Door, Fender",minor,125
"Dickey, Light, Bonnet, Fender, Door",moderate,425
"Dickey, Windshield, Door, Light, Bonnet, Bumper",severe,816
"Door, Bumper, Windshield, Light",moderate,344
Windshield,moderate,87
"Dickey, Door",minor,84
Bonnet,severe,126
"Fender, Door, Bonnet, Dickey",moderate,292
"Dickey, Light, Bonnet, Door, Bumper",severe,505
"Door, Fender",severe,300
"Fender, Windshield, Bonnet",minor,108
Fender,moderate,96
"Dickey, Door, Light, Windshield, Bonnet, Bumper, Fender",severe,700
"Bonnet, Bumper, Windshield, Light",minor,136
"Bonnet, Door, Fender, Bumper, Windshield",minor,170
Fender,moderate,83
"Door, Bumper, Fender",severe,387
"Dickey, Bonnet, Door, Windshield, Fender, Light, Bumper",minor,294
Fender,severe,106
"Door, Bumper, Fender",moderate,150
"Light, Dickey, Bonnet, Windshield, Door, Bumper",severe,888
"Light, Fender, Dickey",severe,333
"Bumper, Light, Windshield, Dickey",moderate,256
Light,minor,21
"Dickey, Light, Door, Bumper, Bonnet",moderate,405
"Light, Door, Dickey, Windshield, Bonnet, Bumper",moderate,450
"Door, Fender, Dickey",moderate,231
Bonnet,minor,30
"Bonnet, Windshield",severe,282
"Light, Bonnet, Windshield, Dickey, Fender",minor,135
"Dickey, Light",moderate,156
"Dickey, Light",minor,44
Door,minor,49
"Windshield, Bonnet, Bumper",moderate,174
"Bonnet, Windshield",moderate,168
Bumper,minor,40
"Fender, Bonnet, Windshield, Bumper, Door, Dickey",moderate,336
"Bonnet, Windshield, Bumper, Door, Light",minor,160
Bumper,moderate,67
"Bumper, Bonnet",moderate,198
"Door, Fender, Bonnet, Dickey, Light, Windshield",severe,726
"Door, Bonnet, Windshield, Dickey, Light, Bumper",minor,168
"Windshield, Light, Bonnet, Dickey, Door",moderate,315
"Windshield, Dickey, Bumper, Fender, Bonnet, Light",minor,246
"Windshield, Dickey, Bumper, Fender, Light, Door",moderate,390
"Door, Bumper, Windshield",moderate,204
"Bumper, Fender, Door, Windshield",severe,436
"Bumper, Windshield, Fender, Light, Bonnet, Dickey, Door",severe,770
"Dickey, Bumper",severe,274
"Light, Bonnet, Fender, Windshield",severe,596
"Bumper, Bonnet, Light, Dickey",minor,128
"Bumper, Fender",minor,48
"Fender, Windshield, Dickey, Bumper",moderate,208
"Door, Light, Bumper, Windshield, Dickey",minor,230
"Light, Door, Windshield, Fender",minor,136
"Bumper, Door, Bonnet, Dickey, Light",severe,525
"Light, Door, Dickey, Bonnet, Windshield, Fender, Bumper",severe,1015
"Bumper, Dickey, Door, Windshield, Light",minor,170
"Light, Dickey, Bonnet",minor,102
Bumper,minor,49
"Bonnet, Bumper, Windshield",minor,138
Bonnet,minor,38
Bumper,severe,127
"Dickey, Bonnet, Door, Fender, Windshield, Bumper, Light",minor,182
"Dickey, Windshield, Bonnet, Fender, Bumper, Door",moderate,576
Door,moderate,73
"Windshield, Light, Dickey",moderate,195
"Bumper, Door, Dickey, Windshield",moderate,336
"Bonnet, Bumper",minor,78
"Fender, Light, Dickey",minor,60
"Door, Bumper, Dickey",minor,87
"Bonnet, Bumper, Fender, Door",minor,120
"Windshield, Bonnet, Door, Dickey, Bumper",moderate,275
"Bonnet, Dickey, Windshield, Light, Door, Fender",minor,162
"Fender, Windshield",severe,278
"Bonnet, Windshield",minor,86
"Door, Windshield",severe,218
"Dickey, Fender, Door, Bumper, Light",moderate,290
"Door, Fender, Windshield, Dickey, Light",severe,750
"Fender, Bumper, Dickey",moderate,294
"Fender, Dickey, Bumper, Door, Bonnet, Windshield, Light",minor,308
"Windshield, Door, Bonnet, Fender, Bumper",moderate,390
"Door, Dickey, Bumper, Bonnet, Light, Windshield",severe,834
"Light, Windshield",severe,288
"Light, Dickey",minor,68
"Dickey, Bonnet, Bumper, Door, Fender, Windshield",minor,198
"Dickey, Light, Fender",moderate,264
"Dickey, Light, Bonnet",severe,366
"Bonnet, Light, Bumper, Door, Dickey, Windshield, Fender",moderate,609
Dickey,minor,37
"Fender, Windshield, Door, Dickey",severe,600
Windshield,moderate,91
"Light, Bumper, Bonnet",minor,99
"Light, Bonnet, Dickey, Windshield, Door",severe,505
"Fender, Light, Door, Bonnet, Bumper",moderate,415
"Light, Door, Dickey, Bumper, Fender, Windshield, Bonnet",minor,154
"Windshield, Fender, Dickey, Light",minor,128
"Fender, Bonnet, Dickey",moderate,210
"Windshield, Fender, Bumper, Bonnet",severe,436
Bonnet,severe,132
"Windshield, Bonnet, Dickey, Light, Fender, Bumper",severe,900
Fender,moderate,52
Windshield,moderate,70
"Bonnet, Dickey",moderate,170
"Door, Dickey, Bumper, Fender, Light",minor,200
"Bumper, Bonnet, Door, Light, Windshield",minor,195
Dickey,moderate,94
"Dickey, Door, Bumper",moderate,285
"Windshield, Bumper",moderate,144
"Light, Door",moderate,190
"Dickey, Fender, Light",severe,321
"Windshield, Light",minor,66
Door,severe,126
"Fender, Windshield, Dickey, Door",minor,92
"Door, Bumper, Light, Fender, Windshield",minor,140
"Fender, Bumper, Door, Dickey",minor,108
"Windshield, Door, Fender, Bumper, Dickey, Bonnet",moderate,480
"Windshield, Fender",moderate,130
"Dickey, Windshield, Light, Door, Bumper, Fender",moderate,528
"Fender, Light, Bonnet, Door, Bumper, Dickey, Windshield",minor,280
"Dickey, Windshield, Light, Bonnet, Fender, Bumper, Door",minor,203
"Bumper, Door, Fender, Bonnet, Windshield, Light, Dickey",moderate,546
"Bumper, Door, Windshield, Fender, Bonnet, Light, Dickey",severe,833
"Windshield, Bumper, Light, Door",moderate,312
"Fender, Dickey, Windshield, Bumper",moderate,368
"Fender, Dickey",minor,54
"Bumper, Bonnet, Dickey, Fender, Windshield",severe,580
"Fender, Bumper",severe,222
"Door, Dickey",moderate,132
"Door, Bonnet",severe,208
Bumper,severe,105
"Windshield, Bonnet, Bumper, Dickey",severe,492
Dickey,severe,137
Dickey,severe,126
"Bonnet, Light, Bumper",moderate,222
"Dickey, Bumper, Fender, Door",minor,104
"Bonnet, Windshield, Fender",severe,312
Bonnet,minor,26
"Dickey, Bonnet",severe,200
"Bumper, Dickey, Door",severe,390
"Dickey, Fender, Light, Bumper",moderate,272
"Door, Dickey, Windshield, Bonnet, Bumper, Fender, Light",moderate,616
Windshield,moderate,86
"Fender, Bonnet, Bumper, Windshield, Light",moderate,350
"Door, Windshield, Fender, Light, Bonnet, Bumper",severe,846
"Fender, Bumper, Door, Light, Dickey, Bonnet",minor,168
"Windshield, Light, Bumper",minor,123
"Windshield, Light, Fender, Dickey, Bonnet, Door, Bumper",severe,938
"Fender, Light, Dickey",minor,90
Bumper,moderate,54
"Bonnet, Dickey, Door, Light, Windshield",moderate,470
"Fender, Bonnet, Bumper, Dickey, Windshield",severe,625
"Fender, Windshield",severe,214
"Bonnet, Bumper, Fender",minor,132
"Fender, Light, Door, Bumper, Dickey, Bonnet, Windshield",minor,315
"Door, Fender",minor,92
Windshield,moderate,63
"Door, Bonnet",minor,48
"Bonnet, Door, Windshield, Light, Bumper",moderate,495
"Bumper, Fender, Door, Windshield, Bonnet, Dickey",severe,750
"Bonnet, Light, Bumper, Dickey, Fender, Windshield, Door",severe,728
"Bumper, Windshield, Dickey, Bonnet, Light, Fender, Door",moderate,672
"Bonnet, Windshield",minor,70
"Bonnet, Light, Fender, Windshield",minor,148
"Windshield, Bonnet",severe,210
"Bonnet, Windshield, Bumper, Door",minor,84
"Light, Door",minor,68
Light,severe,129
"Windshield, Bonnet, Light, Bumper, Fender, Dickey, Door",severe,903
"Fender, Dickey, Light, Bonnet, Bumper, Door",minor,282
"Bumper, Light, Dickey, Fender, Bonnet, Door, Windshield",minor,301
"Fender, Door, Bonnet, Dickey",moderate,396
"Bumper, Fender, Dickey, Bonnet, Windshield, Light, Door",severe,882
"Bumper, Dickey, Light",moderate,174
"Door, Light",moderate,196
"Bumper, Light, Bonnet, Door, Windshield, Dickey",moderate,426
"Dickey, Fender, Door, Bonnet",moderate,244
"Bumper, Bonnet, Windshield, Door, Light, Fender, Dickey",severe,945
"Bonnet, Dickey, Light, Door, Windshield",minor,150
"Windshield, Bumper, Door, Bonnet, Fender, Light, Dickey",minor,189
Windshield,moderate,52
"Fender, Bumper, Door",moderate,225
"Fender, Door, Light",minor,75
Dickey,severe,127
Dickey,minor,39
"Light, Bumper",moderate,118
"Bumper, Dickey, Fender, Door, Windshield",severe,545
